date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:20:47	1341/1341	---MCZ	200	added ('OK')	text/html	etag:W/%2253d-40203b9e82980%22	http://mediachest.sourceforge.net/mediautil/javadocs/index.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/index.html	(from )
21:20:47	867/867	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Nov%202021%2020:20:47%20GMT	http://mediachest.sourceforge.net/robots.txt		(from )
21:20:48	1349/1349	---MCZ	200	added ('OK')	text/html	etag:W/%22545-40203ba52f940%22	http://mediachest.sourceforge.net/mediautil/javadocs/overview-frame.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/overview-frame.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/index.html)
21:20:48	4357/4357	---MCZ	200	added ('OK')	text/html	etag:W/%221105-40203b9d8e740%22	http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/index.html)
21:20:49	5814/5814	---MCZ	200	added ('OK')	text/html	etag:W/%2216b6-40203ba52f940%22	http://mediachest.sourceforge.net/mediautil/javadocs/overview-summary.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/overview-summary.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/index.html)
21:20:49	1202/1202	---MCZ	200	added ('OK')	text/css	etag:W/%224b2-40203ba52f940%22	http://mediachest.sourceforge.net/mediautil/javadocs/stylesheet.css	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/stylesheet.css	(from http://mediachest.sourceforge.net/mediautil/javadocs/overview-frame.html)
21:20:50	1832/1832	---MCZ	200	added ('OK')	text/html	etag:W/%22728-40203ba06ae00%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/package-frame.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/package-frame.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/overview-frame.html)
21:20:51	1742/1742	---MCZ	200	added ('OK')	text/html	etag:W/%226ce-40203b9f76bc0%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/directio/package-frame.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/directio/package-frame.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/overview-frame.html)
21:20:51	877/877	---M--	200	added ('OK')	text/html	etag:%2236d-40203ba43b700%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/package-frame.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/package-frame.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/overview-frame.html)
21:20:52	2753/2753	---MCZ	200	added ('OK')	text/html	etag:W/%22ac1-40203ba43b700%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/package-frame.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/package-frame.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/overview-frame.html)
21:20:52	76641/76641	---MCZ	200	added ('OK')	text/html	etag:W/%2212b61-40203ba15f040%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/AbstractImageInfo.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/AbstractImageInfo.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
